OverallQual,GrLivArea,2ndFlrSF,BsmtFinSF1,GarageCars,TotRmsAbvGrd,TotalBsmtSF,1stFlrSF,YearBuilt,ExterQual,KitchenQual,BsmtQual
0,0.4444444444444445,0.5550747958038622,0.3002421307506053,0.072289156626506,0.5,0.3333333333333333,0.1610474631751227,0.4088915252603273,0.5037037037037038,1.0,1.0,1.0
1,0.4444444444444445,0.4953974580842066,0.2648910411622276,0.06218993621545,0.0,0.3333333333333333,0.1054009819967266,0.3343159960634607,0.5037037037037038,1.0,1.0,1.0
2,0.6666666666666665,0.5263735054904308,0.0,0.1794826364280652,0.5,0.4166666666666666,0.2378068739770867,0.5631014385598587,0.0296296296296296,0.6666666666666666,0.6666666666666666,0.5
3,0.4444444444444445,0.3807808956831922,0.0,0.070871722182849,0.25,0.3333333333333333,0.160392798690671,0.4073500430754775,0.2888888888888889,1.0,1.0,1.0
4,0.5555555555555556,0.4058603123265274,0.0,0.0892983699503898,0.5,0.3333333333333333,0.1653027823240589,0.4341793865792809,0.2888888888888889,1.0,1.0,1.0
5,0.5555555555555556,0.5644332388146114,0.3360774818401937,0.0,0.5,0.4166666666666666,0.1559738134206219,0.3967774976915423,0.0592592592592592,1.0,1.0,0.5
6,0.5555555555555556,0.4398207864931631,0.0,0.1667257264351523,0.5,0.2499999999999999,0.1895253682487725,0.4705094671360337,0.0148148148148148,1.0,0.6666666666666666,0.5
7,0.6666666666666665,0.6392657027906905,0.5573849878934625,0.0,0.5,0.5,0.1446808510638298,0.3683352639013098,0.0666666666666666,0.6666666666666666,0.6666666666666666,0.5
8,0.4444444444444445,0.42611747788977,0.0,0.1144578313253012,0.5,0.3333333333333333,0.1823240589198036,0.4558500044026061,0.0296296296296296,1.0,0.6666666666666666,1.0
9,0.3333333333333333,0.224482436537984,0.0,0.0912473423104181,0.25,0.0833333333333333,0.1031096563011456,0.2401457931059543,0.2888888888888889,1.0,0.6666666666666666,0.5
10,0.6666666666666665,0.444373619973454,0.0,0.1568036853295535,0.5,0.3333333333333333,0.1723404255319149,0.4753799764901973,0.2666666666666666,1.0,0.6666666666666666,0.5
11,0.2222222222222222,0.2717192038601719,0.0,0.0,0.25,0.1666666666666666,0.0,0.2906785257655482,0.437037037037037,1.0,1.0,0.75
